Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
224,1190,900,36,1,4,12000,30,7,224,1190,800,28,0,4,12000,120,0
225,1190,900,36,1,4,12000,40,7,225,1190,800,28,0,4,12000,130,0
226,1190,900,36,1,4,12000,60,7,226,1190,800,28,0,4,12000,150,0
227,1190,900,36,1,4,12000,80,7,227,1190,800,28,0,4,12000,200,0
228,1190,900,36,2,4,12000,100,6,228,1190,800,28,0,4,12000,250,0
229,1190,950,40,2,4,12000,130,6,229,1190,800,28,0,4,12000,260,0
230,1190,950,40,2,4,12000,160,6,230,1190,800,28,1,4,12000,350,0
231,1190,950,40,2,4,12000,170,6,231,1190,800,28,1,4,12000,440,0
232,1190,950,40,4,4,12000,180,5,232,1190,800,28,1,4,12000,550,0
233,1190,950,40,5,4,12000,190,4,233,1190,800,28,1,4,12000,610,0
234,1222,950,40,5,4,12000,200,4,234,1222,800,28,1,4,12000,690,0
235,1222,950,40,5,4,12000,210,4,235,1222,800,28,1,4,12000,700,0
236,1222,950,40,5,4,12000,220,4,236,1222,800,28,1,4,12000,710,0
237,1222,950,40,5,4,12000,230,4,237,1222,800,28,1,4,12000,720,0
238,1222,950,40,5,4,12000,240,5,238,1222,800,28,1,4,12000,730,0
239,1222,950,40,5,4,12000,250,5,239,1222,800,28,1,4,12000,760,0
240,1222,950,40,6,4,12000,250,4,240,1222,800,28,1,4,12000,790,0
240,1222,1000,44,6,4,12000,250,5,240,1222,800,28,1,4,12000,790,0
241,1222,1000,44,6,4,12000,250,5,241,1222,800,28,1,4,12000,790,0
242,1222,1000,44,6,4,12000,250,5,242,1222,800,28,1,4,12000,790,0
